Game,Genre,Percent_Offline,Avg_Prize_Pool_per_Tournament,Offline_Earnings,Release_Date,Total_Earnings,Total_Players,Total_Tournaments
Age of Empires,Strategy,0.70947845925099,2159.192815249,522378.17,1997,736284.75,624,341
Age of Empires II,Strategy,0.349212818102372,2010.576962352,1361409.22,1999,3898508.73,2256,1939
Age of Empires III,Strategy,0.363764053215234,682.998435754,44472.6,2005,122256.72,172,179
Age of Empires IV,Strategy,0.368754596857758,2815.161796690,439117.93,2021,1190813.44,643,423
Age of Empires Online,Strategy,0.0676089463647324,168.573235294,775,2011,11462.98,52,68
Age of Mythology,Strategy,0.459781375825352,632.951610738,86723.77,2002,188619.58,236,298
Among Us,Strategy,0,10750,0,2018,86000,14,8
Auto Chess,Strategy,0.892157933348038,22379.236153846,1038222.28,2019,1163720.28,133,52
Brawl Stars,Strategy,0.472665057121209,39330.974879227,3848208.14,2018,8141511.8,698,207
Chess.com,Strategy,0.0990818589627826,11051.403543004,853000.02,2007,8609043.36,1158,779
chess24,Strategy,0,148912.945862069,0,2014,4318475.43,90,29
chessarena.com,Strategy,0.205039693406425,11971.074545455,54000,2021,263363.64,134,22
Clash of Clans,Strategy,0.611616322825049,75132.621851852,3722139.37,2012,6085742.37,544,81
Clash Royale,Strategy,0.484143577562791,68635.158560606,4386263.8,2016,9059840.93,563,132
Clash Royale x Chess,Strategy,NA,,0,2022,0,0,0
Command & Conquer 3,Strategy,1,6635.83375,53086.67,2007,53086.67,9,8
Command & Conquer: Red Alert,Strategy,1,15000,15000,1996,15000,8,1
Company of Heroes 2,Strategy,0.929332501676163,1426.87,7956.22,2013,8561.22,11,6
ComPet,Strategy,0,2000,0,2016,2000,50,1
Dead By Daylight,Strategy,0,6666.666666667,0,2016,60000,35,9
Dead by Daylight Mobile,Strategy,0,10000,0,2020,10000,0,1
Dota Underlords,Strategy,0,722.893888889,0,2019,26024.18,62,36
Endgods,Strategy,NA,,0,2015,0,0,0
Farming Simulator 19,Strategy,0.331545671885837,21550.559375,228639.83,2018,689617.9,145,32
Farming Simulator 22,Strategy,0.753927194686833,22707.92375,136960.97,2021,181663.39,48,8
GeoGuessr,Strategy,1,37326.75,74653.5,2013,74653.5,34,2
Grey Goo,Strategy,0.835164835164835,7280,30400,2015,36400,18,5
Heroes of Might and Magic III,Strategy,NA,,0,1999,0,0,0
Identity V,Strategy,0.901458729732783,199880.376551724,5225333.4,2018,5796530.92,375,29
Internet Chess Club,Strategy,0,10000,0,1995,10000,6,1
Iron Harvest,Strategy,NA,,0,2020,0,0,0
Legion TD 2,Strategy,NA,,0,2021,0,0,0
Lichess,Strategy,0,7148.120273224,0,2010,1308106.01,366,183
Loco Dojo Unleashed,Strategy,1,1000,1000,2021,1000,4,1
Men of War: Assault Squad 2,Strategy,NA,,0,2014,0,0,0
Multigaming,Strategy,0.909184114609666,52596.378333333,573837.5,2000,631156.54,58,12
Playchess.com,Strategy,0,3651.842222222,0,2002,32866.58,116,9
Pokémon GO,Strategy,0.989265040592125,7749.861111111,552000,2016,557990,324,72
Pokémon VGC,Strategy,0.970252580347403,13903.166666667,647500,2012,667352,322,48
Prophecy,Strategy,0,3250,0,2020,13000,27,4
Rise of Nations: Rise of Legends,Strategy,1,69600,69600,2006,69600,8,1
Sea of Thieves,Strategy,0,25000,0,2016,100000,67,4
Star Wars: Squadrons,Strategy,0,800,0,2020,800,4,1
StarCraft II,Strategy,0.788729346921578,5684.781300932,33672991.36,2010,42692707.57,2280,7510
StarCraft: Brood War,Strategy,0.966074301136193,13940.803837638,7299575.96,1998,7555915.68,663,542
StarCraft: Evo Complete (Mod),Strategy,0,2168.79,0,2024,21687.9,35,10
StarCraft: Remastered,Strategy,0.334260246280547,7069.707720145,1959028.34,2017,5860787.7,413,829
Stormgate,Strategy,0.377084807630185,1243.0890625,15000,2024,39778.85,89,32
Summoners War: Sky Arena,Strategy,0.646464646464647,113142.857142857,512000,2014,792000,33,7
Super Mario Party,Strategy,1,220,220,2018,220,4,1
Supreme Commander,Strategy,1,4901.26,4901.26,2007,4901.26,0,1
Supreme Commander: Forged Alliance,Strategy,1,1290.01,1290.01,2007,1290.01,0,1
Teamfight Tactics,Strategy,0.37533938326247,80420.736238532,3290172.58,2019,8765860.25,871,109
Temtem,Strategy,0,6722.222222222,0,2022,60500,35,9
TEPPEN,Strategy,0.729323011829903,26092.775,456721.47,2019,626226.6,53,24
The Binding of Isaac,Strategy,0,15000,0,2011,15000,16,1
Total Annihilation,Strategy,1,15000,15000,1997,15000,2,1
UNO,Strategy,0,10000,0,2016,30000,28,3
WarCraft III,Strategy,0.851191496167955,4069.131438710,5368595.62,2002,6307153.73,768,1550
WarCraft III: Reforged,Strategy,0.277762354318993,3639.384523810,594399.8,2020,2139958.1,197,588
"Warhammer 40,000: Dawn of War",Strategy,1,26605.5,79816.5,2005,79816.5,7,3
